01S	01_STUDIO P.I.
1AD	1A DIGITAL FILM GMBH
1Z1	1Z1 SCREENWORKS
24F	24 FRAMES DIGITAL FILMS
24K	24FRAME KINOPROJEKTION
283	2836 PRODUCTIONS
2FR	2FRAME
2LK	2L (KOREA)
3DV	DEEP VISION 3D
422	422.TV
8K	8K USA
902	902 POST INC.
AAM	ARTS ALLIANCE MEDIA
AAU	ADSTREAM AUSTRALIA
ACL	ACCELERE SA
ACT	ACT3
ADA	ADMOVIES DIGITAL CINEMA ADVERTISING
ADC	ARRI DIGITAL CINEMA
ADE	ALLIANCE DIGITAL ENTERTAINMENT
ADL	ALFONSIN DIGITAL LAB
ADS	AMAZING DIGITAL STUDIOS
ADV	ADVANCED DIGITAL SERVICES
AFA	ANTHOLOGY FILM ARCHIVES
AFL	AFINAL FILMES
AFM	AUSTRIAN FILM MUSEUM
AGD	DIGITAL CINEMA SOLUTIONS
AGM	AGM FACTORY
AI	ATOMIC IMAGING, CHICAGO
AIA	AIA POST & COLOR
AIX	ACCESS IT (OBS., SEE CINEDIGM)
ALM	ARE LUKE
ALS	ANIMAL LOGIC, SYDNEY
AMF	AN-MAR FILM
AND	ANDROMEDA FILM
ANM	ANIMAGIC N.V.
ANT	ANTAVIANA FILMS
APS	ANIMATED PRODUCTION SERVICES
ARA	ARANE
ARC	ARTECH DCINEMA
ARS	ARSENAL - INSTITUTE FOR FILM AND VIDEO ART
ASC	ASCENT MEDIA
ATL	ATL VIDEOFACTORY
AUS	DCP AUSTRALIA
AUW	AUWE DIGITAL
AVD	AV-DESIGN
AVF	AUDIO VISUAL FACTORY
AVG	AV GRID
AVP	AV PRESERVATION BY RETO.CH
AVS	AUDIO VISUAL SYSTEMS
AWC	AUTHORWAVE CREATIONS
AZU	AZUL QUE NÃO HÁ
BBT	BEWEGTE BILDER TUEBINGEN
BC	BIG CINEMA GMBH
BCF	BASECAMP FILMS (MALAYSIA)
BDM	BRICKBOX DIGITAL MEDIA
BF	BELARUSFILM
BGM	BOOGIE MONSTER
BIT	BITCINE TECHNOLOGIES
BJ	BERT JICKTY (SAKHA REPUBLIC)
BL	BLINK
BLX	BLIXEM FACILITIES SOUTH AFRICA
BMC	B-MAC LAB
BMR	BIG MOVIE RUSSIA
BOA	B.O.A. VIDEOFILMKUNST GMBH
BOP	BEST & ORIGINAL PRODUCTION LIMITED
BRM	BERRYMOUNT AUTOMATION
BRW	BREAKWATER STUDIOS
BT	BT PRODUCTION
BUG	BUG AS, NORWAY
C19	CLOUD 19
CAC	CINEACT
CAD	CINEART MOVIE AND TV PRODUCTION
CBD	COLOR BY DEJONGHE
CC	CINEMA CONCEPTS
CCC	COLUMBIA COLLEGE CHICAGO
CCD	CINECOLOR DIGITAL
CCI	CARMIKE DIGITAL LAB
CCM	CINECOLOR MEXICO
CCS	CINESTAR CONTENT SERVICES
CD	CREATIVE DATAWORKS
CDC	CODICINE
CDI	COSMODIGITAL
CDM	CINEDIGITAL MEXICO
CDS	CINEWORKS DIGITAL STUDIOS, INC. - MIAMI
CE	CUTTING EDGE SYDNEY
CEN	CENTURY ENGINEERING
CER	CERIDWEN PRODUCTIONS
CF	CAFETICO FILMS
CFT	CINEFORT LTD.
CFV	CONSTANTIN FILM VERLEIH
CGK	CINEMA GOTIKA
CGM	CINEGROUND MEDIA
CGP	CINEGRELL POSTPRODUCTION
CGR	CGR DIGITAL CINEMA
CHP	CHAOS PRODUCTIONS
CHR	CHROMA MEDIA
CID	CINELI DIGITAL
CIN	CINEDIGM
CJP	CJ POWERCAST ART AND TECHNOLOGY
CL	CINE-LAB BRUSSELS
CLA	CINEWORKS, LA - NEW ORLEANS
CLB	CINELAB
CLM	COLOR'M
CLO	COLORFLOW
CLP	CINELINE S.C.
CLS	CINEMA LIBRE STUDIO
CM	CENTAURI MEDIA
CMA	CIMA PRODUCTIONS
CMI	CENTRE FOR THE MOVING IMAGE
CML	COLOR MILL
CMP	DIGITAL CINEMA MAGIC
CMQ	CINEMATIQ
CMT	CINEMATE
CMY	CHEMISTRY
CNC	CENTRE NATIONAL DU CINÉMA ET DE L'IMAGE ANIMÉE
CNL	CINELEX
CNM	DCINEMATICA
CNP	CINEMA PRESTIGE
CNY	CINERIC, INC
CO	CINEMA OBSCURA
CO3	COMPANY 3
COL	COLORFRONT
COM	COLORADO MEDIA
CON	CONDOR DIGITAL
CP	CINE PLUS GMBH
CPC	CINEMA PRODUCTION COMPLEX
CPI	CENTRAL PRODUCTION INTERNATIONAL GROUP
CPP	CINEPOSTPRODUCTION
CPT	CINEPOST
CPX	CINELICIOUS PICS
CRA	CINERAMA
CRE	CRÉATIC
CSI	C-SIDE PRODUCTIONS
CSP	CINESYNC POLAND
CST	CINEMASUPPORT.EU
CTL	CINETEC LANDFRIED GMBH
CTP	CHUNGNAM TECHNO PARK
CV	BCHILIAN COMUNICACIÓN VISUAL
CX	CINE CHROMATIX
D2	D2
D24	DCP24 LABORATORY
D2B	D2 BENELUX
D2C	D2 CHINA
D2I	D2 ITALIA
D35	D35 S.A.
D36	DIGITAL360, S.L.
D3D	DCP3D
DAC	DACODEC
DAU	DELUXE AUSTRALIA (OBSOLETE - SEE DELUXE TECHNICOLOR)
DB	DAME BLANCHE
DBX	DIGITAL BLUE (MX)
DC	DIGITAL CUT
DCC	DCPCINE
DCD	DIGITAL CINEMA UNITED
DCF	DCP FACTORY
DCK	DCI KOMPETENZZENTRUM
DCM	DIGITAL CINEMA MASTERING
DCN	DIGICINE RUSSIA
DCP	DIGITAL CINEMA PRODUCTIONS - LEBANON
DCS	DIGITAL CINEMA SERVICES
DCT	DIGITAL CUT POSTPRODUCTION
DCU	DIGITAL CINEMA UKRAINE
DD	DIGITAL-DISTRICT
DDD	DIGITAL DEVELOPPEMENT DISTRIBUTION
DDI	DIGITAL DEVOID, INC
DDP	DDP STUDIOS
DDR	DELUXE DIGITAL ROME
DDS	DISNEY
DEF	DEFINITIONFILMS AUSTRALIA
DEX	DEXTER THE EYE
DF	DIGITAL FACTORY (FRANCE)
DFL	POINT.360 DFL
DFS	DUALFILM, STUTTGART
DGB	DOLBY UK
DGL	DIAGONAL
DIC	DIGIMAGE CINEMA
DIF	DI FACTORY
DIG	DIGILAB
DKG	DCP.KG
DLA	DELUXE LA (OBSOLETE - SEE DELUXE TECHNICOLOR)
DLB	DOLBY LA
DLK	DIGITAL POST SERVICES (SRI LANKA)
DLN	DELUXE DIGITAL CINEMA NEW YORK
DM	DCPMASTER
DMR	DCP MASTER RUSSIA
DMS	DIGITAL MEDIA SERVICES INC.
DNY	DOLBY NY
DP	DIGIPOST
DPA	DIGIPIX AUSTRALIA
DPM	DCP MOVIES
DPP	DIVO POST PRODUCTION
DPS	DIGITAL POST SERVICES
DRG	DRG CINE DIGITAL
DS	DIGITAL SALADE STUDIO
DSI	DUPLICATION SERVICES INC.
DSP	DELUXE SPAIN (OBSOLETE - SEE DELUXE TECHNICOLOR)
DTA	DELUXE TECHNICOLOR AUSTRALIA
DTB	DELUXE TECHNICOLOR BURBANK
DTC	DELUXE TECHNICOLOR CULVER CITY
DTL	DIGITALL PTY LTD
DTM	DELUXE TECHNICOLOR MADRID
DTT	DELUXE TECHNICOLOR TORONTO
DTU	DELUXE TECHNICOLOR UK
DUB	DUBBING BROTHERS
DUK	DELUXE UK (OBSOLETE - SEE DELUXE TECHNICOLOR)
DVF	DUAL V FILMS
DVI	DEVLIN VIDEO INTERNATIONAL
DVS	DVS INTELESTREAM/CCI DIGITAL
DW	DAS WERK
DWS	DCP-WERKSTATT
DX	DIMENSION X (SRI LANKA)
DXL	DCINEX - LIÈGE
DXT	DCINEX - TUEBINGEN
EA	ENTERACTIVE GMBH
EBH	EBH POLSKA
EC	EUROPACORP
ECL	ÉCLAIR LABS
ECS	ELECTRIC CINEMA AND SOUND STUDIOS
ED	E D I T D U D E S
EDC	EDCI LTD.
EDI	EDI LAB
EFF	EDINBURGH INTERNATIONAL FILM FESTIVAL
EFH	EDINBURGH FILMHOUSE
EFM	E-FILM
EFT	ESPRIT FILM AND TELEVISION LIMITED
EGL	EGLIFILM POSTPRODUCTION
EHC	EDITHOUSE (COPENHAGEN, DENMARK)
EHW	ENCORE HOLLYWOOD
EKN	EIKON GROUP LIMITED
ELL	ENS LOUIS-LUMIERE, FRANCE
ELO	ELO FILM SCHOOL HELSINKI
EM	ETCH MEDIA
EMC	EMC POST PRODUCTION
ENV	ENVY STUDIOS LTD NZ
EP	EAGLE PICTURES
EVP	EMPIRE VIDEO PRODUCTION
EX	EXPROD (CANADA)
EXP	EXPRESSDCP
FB	FILM BILDER
FBF	FRAME BY FRAME ITALIA
FBK	FILMBAKERS
FBV	FILMDOC B.V.
FDC	FILM AND DIGITAL CINEMA
FDS	FDS-TECHNOLOGY LTD.
FDT	FUTURO DIGITAL TECNOLOGIA
FF	FINAL FRAME
FFA	FINAL FOCUS AUSTRALIA
FFF	FILM FACTORY FRANCE
FFI	FILM FACTORY ENTERTAINMENT 
FFP	FINAL FELIZ POST
FFX	FOCUS-FOX STUDIO
FIN	POST CONTROL HELSINKI
FIX	FIXAFILM
FKI	FOTOKEM
FKT	FARBKULT
FLB	FILMBAND
FLM	FILMMORE
FMM	FILMMUSEUM MÜNCHEN
FNL	FINALE EDITWORKS
FOD	FOCUS ON DIGITAL
FPD	FILMPRINT DIGITAL
FRD	FREE DREAMS PORTUGAL
FRE	FREESTUDIOS
FRM	FRAMESTORE
FRS	FRESTO POST – INDONESIA
FS	FILMOSONIDO ESTUDIOS
FSM	FSM
FSP	FABIAN SPANG POSTPRODUKTIONSBUERO
FXP	FXPEAK
G4F	GOOD4FRAME
GAA	GODDAM ART AGENCY
GCL	GOLDCREST LONDON
GCV	GUARANGO CINE Y VIDEO
GDC	GDC TECHNOLOGY LIMITED
GF	GENESIS FILM
GMP	GRAY MATTER POST
GPB	GUALUMBO POST BOUTIQUE
GRL	GRAAL S.A.
GRN	GREEN DCP
HAR	HARBOR PICTURE COMPANY
HBF	HERMOSA BEACH FILMWORKS
HBL	HOKUS BOGUS LTD
HBO	HOME BOX OFFICE
HDQ	HEADQUARTER
HL	HINTERLAND
HSL	HOCHSCHULE LUZERN
HU	HEADS UP
HUB	MEDIAHUB EUROPE
HUT	HECKMANN UND THIELE
IAA	INDUSTRIAS AUDIOVISUALES ARGENTINAS SA
IAS	IMAGES & SOUND LTD
ICS	ICS LABORATOIRE DIGITA
IDC	INDIEDCP
IDX	IDENTITY FX, INC.
IF	IRIDIUM FILM
IFS	IFS INTERNATIONALE FILMSCHULE KÖLN GMBH
IL	IRMALUCIA
IMA	IMAGICA
IMF	IMAGE FORESTT
IMG	IMAGINASTUDIO
IMJ	IMAJ TV
IML	IMAGE & LIGHT
IMN	IMN CREATIVE, INC
IMX	IMAX
IN3	IN-THREE
INP	INPHINY
IR	L'IMMAGINE RITROVATA
IRP	INFINITY ROAD PICTURES
IRU	IRUSOIN
ISE	IMAGICA SEA
IVC	POINT.360 IVC
IX	IMACULIX GMBH
JOR	JORR
JVO	JVO, BILD UND TON, COLOGNE
KCP	KINO CYFROWE
KIN	KINOKKI
KIT	KIT DIGITAL
KNR	KONVEYER LAB
KRO	STUDIO KROPKA
KTR	KINOTUR
L40	MS&P GMBH
LAB	LE LABO
LB5	LAB 54A FILMPRODUKTION GMBH
LBC	LABO CINE DO BRASIL
LBD	LABODIGITAL
LBN	LUBIANI TECNOLOGIE
LCI	LA COMPAGNIE DE L'IMAGE
LDR	LABRADOR
LEO	LEO VALEN
LF	LOBSTER FILMS
LFP	LS FILM PRODUCTION
LFS	LORI FILM STUDIO
LHP	LOCAL HERO POST
LID	LIGHTIRON DIGITAL
LIS	LISTO VIDEOFILM
LJM	LE JOLI MAI
LKD	LINK DIGITAL
LOM	LOMOTION AG
LP	LAST PICTURES (OBSOLETE)
LPC	LUTE PRODUCTIONS CROATIA
LSP	LASERPACIFIC
LSR	LASERFILM CINE Y VÍDEO, SL
LSV	L'ESPACE VISION CO., LTD
LUM	LUMIÈRES NUMÉRIQUES
LVR	LVR DIGITAL
M1	MEDIA1
MAC	LES MACHINEURS
MAG	MAGENTA TV
MAM	MAMUT FILMS
MAN	DCPMANUFAKTUR
MAQ	CINEMA MAQUINA
MAS	MA-SA FILMS
MAT	MATTEL ENTERTAINMENT
MC	MANGA COMPANY
MCL	MOCHA CHAI LABORATORIES
MCM	MC MULTIMEDIA
MCN	MOCEAN
MDI	MDI MARGUTTA DIGITAL INTERNATIONAL SRL
MEL	MELS STUDIOS AND POSTPRODUCTION
MF	MAT FILM LTD.
MGF	MAGESTIC FILM
MIC	MICSOUND
MIK	MIKROS IMAGE
MIS	MISTIKA POST
ML	MAGICLAB
MM	M&M MEDIA
MMC	MACHIN MACHINE
MMG	MOMOTION GMBH
MMP	MAGNA MANA PRODUCTION
MNR	MERCENAR LAB
MNW	MARVIN & WAYNE SHORT FILM DISTRIBUTION
MOD	MODERN VIDEOFILM
MOL	MOLINARE UK
MOM	MONTIMEDIA
MOR	MORDISCO FILMS
MOT	MOTIONLINK
MOV	MOVIEDESIGN
MP	MEDIA PROJEKT
MPI	WARNER BROS. MOTION PICTURE IMAGING
MPS	MOTION PICTURE SOLUTIONS
MRS	M.R. SOUND
MS	MEDIA SOLUTION
MSF	MICHAEL SÄNGER FILM
MSP	MSP-SHOWTECHNIK
MTF	MOUSETRAP FILMS
MTS	MATRIS MÜHENDISLIK
MYD	MOTION PICTURE SOLUTIONS MYDCP
MYO	MY ONLINE DCP
NB	NATIONAL LIBRARY OF NORWAY
NCP	NEDCIPRO BV
ND	NICE DISSOLVE
NF	NEVAFILM
NFD	NORDISK FILM DIGITAL PRODUCTION
NXT	NEXT TECHNOLOGY LTD
O2	O2 FILMES
OA	OPTICAL ART
OCH	ONE COOL PRODUCTION HONG KONG
OCT	ONE COOL PRODUCTION THAILAND
ODC	OCTAMAS AG
OE	OLYMPUSAT ENTERTAINMENT, INC
OG	OPEN GATE
OHW	OFFHOLLYWOOD
OJ	OMNIBUS JAPAN
OLR	OUTLIER POST
OLV	ON LINE VIDEO 46 AG
OM	OPTIONMEDIA
OMN	OMNIMAGO
ONS	ONSIGHT LTD
OPC	ORIENTAL POST CO., LTD
OPT	OPTIX DIGITAL PICTURES
ORI	DIGICINE ORISTAR TECHNOLOGY
ORK	ORKA, POLAND
OTF	OUTPOST TECHNOLOGY FRONTIER
OXI	OXIDO
PC	POST CATACLYSMA
PCH	PROTRONIC AG
PCL	SONY PCL
PDE	PIXELFLY DIGITAL EFFECTS
PDS	PRODUCTION DATA SERVICES
PF	POSTFACTORY BERLIN
PFB	PRIME FOCUS BANGALORE
PFC	PRIME FOCUS CHENNAI
PFG	PRIME FOCUS GOA
PFH	PRIME FOCUS HOLLYWOOD
PFL	PRIME FOCUS LONDON
PFM	PRIME FOCUS MUMBAI
PFN	PRIME FOCUS NEW YORK
PFU	POST FACTORY UK
PFY	PRIME FOCUS HYDERABAD
PHD	PREHISTORIC DIGITAL
PI	PLATIGE IMAGE
PIR	PIRANA
PKM	PEAK MEDIA
PLA	MEGA PLAYGROUND
PLS	POST LOGIC
PM	POST-MODERNE
PMP	POWER MUSIC PRODUCTIONS
PP	PICTURE PERFECT
PRE	PRESTIGE CONSULTING
PSC	POSTCOLOR
PSP	PROMOSCAPE
PT	PACIFIC TITLE
PTQ	POSTIQUE CO., LTD
PUZ	PUZZLE FILM & VIDEO
PW	POSTWORKS
PX	PIXAR (OBSOLETE)
PXP	PIXEL FOR EVERYONE GBR (POTSDAM)
PXR	PIXAR
PXW	PIXEL FOR EVERYONE GBR (WAHLSTORF)
PYR	PYRAMID POST - INDONESIA
PZO	PIANETA ZERO
QP	QUANTUM POST
QUB	QUBE CINEMA
R2I	RED ROOSTER INDONESIA
RBC	RBC SRL
RBM	RED BULL MEDIA HOUSE
RBR	RBR FILMS
RCO	RICART & CO
RCP	REDCUP POST
RD	REALD
RDA	ROAR DIGITAL
RDR	RADAR D.O.O.
REA	REANIMEDIA LTD.
RED	REDSMOKE AG
REL	RELITA
REV	REV13 FILMS INC 
RGB	RGB POST
RIC	REAL IMAGE, CHENNAI
RIM	REAL IMAGE, MUMBAI
RL	REALDCP
RM	ROUSH MEDIA
RMW	RELIANCE MEDIAWORKS
RND	R&D WORKSHOP
RPM	RPM PICTURES
RPS	RESTART PRODUCTIONS
RS	RENDERED SUN
RSF	REDSCOPE FILMPRODUCTIES
RSS	RED SKY STUDIOS
RVD	WORLDWIDE DIGITAL CINEMA
RWK	RAAMW3RK
S2	SCHEDULE 2 INC.
S2E	SUPERLATIVE STIMULI
S76	STUDIO76
SA	SCREEN ATTRACTIONS
SAA	SAAL MEDIA
SAC	SACCO FILM
SAM	SAMFILM
SAS	STUDIO ASCI
SCL	SCANLAB FRANCE
SCN	SHORTCUT NORGE
SCS	SB CINE SOUNDS, CANADA
SCW	COLORWORKS
SDC	SOHO DIGITAL CINEMA
SDM	SOHO DIGITAL MEDIA (OBS., SEE SOHO DIGITAL CINEMA)
SDP	STANDARD DIGITAL PRODUCTION COMPANY
SDS	SUNSET DYNAMICS
SE	STUDIO ELEMENT
SEK	SEBANG SDL (KOREA)
SEM	SPURENELEMENTE
SEQ	STUDIO L'EQUIPE
SFB	SOUNDFIRM BEIJING
SFL	SOHO FILM LAB
SFM	SF MEDIA AB
SFS	SOUNDFILM SYDNEY
SFV	SOUNDFILM MELBOURNE
SHA	SHAMAN ID
SIM	SIMPLE DCP
SKL	SKLAVIS FILM LAB
SKY	SKYLAB SERVICES INC
SLD	SOLUCIONES DVD
SLS	STORYLINE STUDIOS
SM	SPEEDMEDIA
SMG	SILVERSUN MEDIA GROUP LTD
SMP	STATIK MOTION PICTURES
SMT	SVENSK MEDIETEXT
SOO	STUCK ON ON
SP	SONIC POOL
SPC	SPECTICAST ENTERTAINMENT
SPI	SONY PICTURES IMAGEWORKS
SPO	SHOOT & POST
SPP	STAMPEDE POST PRODUCTIONS
SS	SHAW STUDIOS
SSC	SPICE SHOP COMPANY
SSP	SEARLE STREET POST
STH	STUDIO HAMBURG
STR	START
SUB	SUBRATA SEN COMMUNICATIONS
SUR	EL SUR CINE Y VIDEO
SV	STADION VIDEO
SVL	SCREEN VISTAS LTD (NEW ZEALAND)
SWS	DCPLAB.EU
SYL	SYLICONE
TAT	TAT PRODUCTIONS (FRANCE)
TBD	TBD POST
TCF	TWENTIETH CENTURY FOX
TCI	TITRA CALIFORNIA, INC
TCM	TECHNICOLOR DIGITAL CINEMA – MONTREAL
TCS	TCS (FRANCE)
TDC	TECHNICOLOR DIGITAL CINEMA LA (OBSOLETE - SEE DELUXE TECHNICOLOR)
TDE	T.D.E. SOLUTIONS LIMITED
TDI	TERMINAL DI
TE	TRENCH ENTERTAINMENT
TEF	TECHNICOLOR ENTERTAINEMENT SERVICES FRANCE
TEU	TECHNICOLOR DIGITAL CINEMA UK (OBSOLETE - SEE DELUXE TECHNICOLOR)
TFD	TECHNISCHER FILM DIENST
TFP	TREE FALLS POST
