01S	01_STUDIO P.I.
3DV	DEEP VISION 3D	
ADS	ALLIANCE DIGITAL STUDIOS	
AFG	ARCHANGEL FILM GROUP	
AI	ATOMIC IMAGING, CHICAGO	
ANIM	ANIMASIA STUDIOS	
AS	ASTRO SHAW
ATF	ASIA TROPICAL FILMS
AVD	AV-DESIGN	
BF	BELARUSFILM	
BH	BLUMHOUSE PRODUCTIONS	
BMG	BUSCH MEDIA GROUP	
BRM	BERRYMOUNT AUTOMATION	
BRW	BREAKWATER STUDIOS	
BS	BANTAM STREET	
CCC	COLUMBIA COLLEGE CHICAGO	
CDC	CDC UNITED NETWORK	
CF	CHALIA FILMS	
CFSL	CAFETICO FILMS	
CFV	CONSTANTIN FILM VERLEIH	
CL	CINEMALIVE	
CLS	CINEMA LIBRE STUDIO	
CNRA	CINERAMA
CRO	CROMOSOMA, S.A.	
DBDK	DIGIBIO.DK	
DCK	DCI KOMPETENZZENTRUM	
DEFI	DELPHI FILMVERLEIH GMBH	
DFS	DUALFILM, STUTTGART	
DI	DISNEY	
DVF	DUAL V FILMS	
EAG	EAGLE PICTURES	
EDEL	EDEL GERMANY GMBH
ELA	ELAMEDIA	
ELO	ELO FILM SCHOOL HELSINKI	
EQF	EQUINOXE FILMS	
EXC	THE EXCHANGE	
FB	FILM BILDER	
FF	FOCUS FEATURES	
FG	FEEL GOOD ENTERTAINMENT	
FIN	FINAS PRODUCTIONS	
FRE	FRENETIC FILMS	
FW	FOCUS WORLD	
FX	FOX SEARCHLIGHT	
FZ	FRENZI FILMS	
GB	GRAND BRILLIANCE	
GPI	GOLAN STUDIOS, CHICAGO	
GR	GRAMERCY PICTURES	
HF	HEIMATFILM
HFF	HFF KONRAD WOLF	
HOOK	STUDIO HOOK	
HSLU	HOCHSCHULE LUZERN	
ICON	ICON ENTERTAINMENT	
IFC	IFC FILMS	
IFS	IFS INTERNATIONALE FILMSCHULE KÖLN GMBH	
IMG	IMAGINASTUDIO	
IMO	INFINATE MOTION
IND	INDEPENDENT PICTURES	
IRP	INFINITY ROAD PICTURES	
IRU	IRUSOIN	
JAG	JAGUAR FILMS PRODUCTIONS	
KCP	KINO CYFROWE	
LA	LOCAL ACQUISITION	
LFLM	LUCAS FILMS	
LION	LIONS GATE	
LOK	LOOKNOW
LOMO	LOMOTION AG	
LSR	LASERFILM CINE Y VÍDEO, SL	
LVT	LVT	
MAX	MAXIWORKS PRODUCTIONS	
MMG	MOMOTION GMBH	
MMP	MAGNA MANA PRODUCTION	
MOM	MOMENTUM PICTURES	
MRMX	MIRAMAX	
MRV	MARVEL	
MSVP	MYSTIC STUDIOS & VINAYAK PRODUCTIONS	
NT	NEW LINE	
O2	O2 FILMES	
OTA	FOX ATOMIC	
OVSP	OVERSPIL (DK)
PAT	PATHE DISTRIBUTION	
PC	DREAMWORKS	
PC	PARAMOUNT
PC	PARAMOUNT VANTAGE	
PEAK	PEAK MEDIA	
PICH	PICTUREHOUSE	
POLO	POLO FILM (DK)	
PW	PRIMEWORKS	
RAM	RAM ENTERTAINMENT
RED	RED COMMUNICATIONS	
REL	IM GLOBAL	
RF	RAIN FILMS	
RLD	REALD	
RP	ROGUE PICTURES	
RSS	RED SKY STUDIOS	
SA	SCREEN ATTRACTIONS	
SAF	SIERRA/AFFINITY	
SB	SHOWBOX	
SBF	SOAPBOX FILMS
SKOP	SKOP PRODUCTIONS	
SKT	SKT INTERNATIONAL	
SM	SUHAN MOVIES	
SPE	SONY PICTURES ENTERTAINMENT	
STX	STX ENTERTAINMENT	
SUM	SUMMIT ENTERTAINMENT	
T25P	TAKE 25 PICTURES	
TCF	FOX	
TRIG	TRIGON-FILM	
UIG	UIGIG ENTERTAINMENT (SPAIN)	
UP	UNIVERSAL
UPI	UNION PICTURES	
UTM	U2 MEDIA
VEX	VIRTUAL EXPERIENCE	
WC	DIMENSION	
WC	WEINSTEIN CO.	
WR	WARNER BROS.	
XM	MGM	
ZHDK	ZÜRCHER HOCHSCHULE DER KÜNSTE
ZM	ZOOM-ENTERTAINMENT
